datetime,ETH_Borrow,stETH_Supply,LIDO_stETH_Staking,stETH_staking_and_lending
2024-11-13 0:00:00,2.65%,0.01%,3.49%,3.50%
2024-11-14 0:00:00,2.63%,0.01%,3.91%,3.92%
2024-11-15 0:00:00,2.64%,0.01%,3.57%,3.58%
2024-11-16 0:00:00,2.61%,0.01%,3.36%,3.37%
2024-11-17 0:00:00,2.64%,0.00%,3.24%,3.24%
2024-11-18 0:00:00,2.63%,0.00%,3.23%,3.23%
2024-11-19 0:00:00,2.57%,0.00%,3.36%,3.37%
2024-11-20 0:00:00,2.63%,0.00%,3.36%,3.37%
2024-11-21 0:00:00,2.61%,0.01%,3.31%,3.32%
2024-11-22 0:00:00,2.58%,0.01%,3.38%,3.39%
2024-11-23 0:00:00,2.56%,0.01%,3.31%,3.32%
2024-11-24 0:00:00,2.55%,0.01%,3.34%,3.35%
2024-11-25 0:00:00,2.51%,0.01%,3.23%,3.24%
2024-11-26 0:00:00,2.49%,0.02%,3.33%,3.35%
2024-11-27 0:00:00,2.66%,0.02%,3.29%,3.31%
2024-11-28 0:00:00,2.67%,0.02%,3.23%,3.25%
2024-11-29 0:00:00,2.68%,0.06%,3.12%,3.17%
2024-11-30 0:00:00,2.67%,0.07%,3.11%,3.19%
2024-12-01 0:00:00,2.66%,0.07%,3.10%,3.17%
2024-12-02 0:00:00,2.67%,0.07%,3.27%,3.34%
2024-12-03 0:00:00,2.69%,0.13%,3.46%,3.59%
2024-12-04 0:00:00,3.74%,0.14%,3.49%,3.63%
2024-12-05 0:00:00,4.36%,0.13%,3.33%,3.46%
2024-12-06 0:00:00,2.68%,0.13%,3.71%,3.84%
2024-12-07 0:00:00,2.70%,0.13%,3.21%,3.35%
2024-12-08 0:00:00,2.68%,0.13%,3.09%,3.22%
2024-12-09 0:00:00,2.65%,0.07%,3.17%,3.24%
2024-12-10 0:00:00,2.70%,0.11%,3.79%,3.90%
2024-12-11 0:00:00,2.81%,0.11%,3.37%,3.48%
2024-12-12 0:00:00,5.45%,0.12%,3.23%,3.35%
2024-12-13 0:00:00,2.70%,0.12%,3.20%,3.32%
2024-12-14 0:00:00,3.60%,0.13%,3.10%,3.23%
2024-12-15 0:00:00,2.69%,0.13%,3.06%,3.19%
2024-12-16 0:00:00,2.69%,0.13%,3.14%,3.27%
2024-12-17 0:00:00,2.67%,0.12%,3.17%,3.29%
2024-12-18 0:00:00,2.66%,0.13%,3.16%,3.29%
2024-12-19 0:00:00,2.62%,0.12%,3.29%,3.41%
2024-12-20 0:00:00,2.70%,0.14%,3.63%,3.77%
2024-12-21 0:00:00,3.95%,0.14%,3.18%,3.32%
2024-12-22 0:00:00,7.61%,0.14%,3.11%,3.25%
2024-12-23 0:00:00,2.75%,0.14%,3.14%,3.28%
2024-12-24 0:00:00,2.55%,0.14%,3.13%,3.27%
2024-12-25 0:00:00,2.53%,0.14%,3.03%,3.17%
2024-12-26 0:00:00,2.54%,0.14%,3.05%,3.19%
2024-12-27 0:00:00,2.58%,0.13%,3.13%,3.26%
2024-12-28 0:00:00,2.60%,0.13%,3.06%,3.20%
2024-12-29 0:00:00,2.60%,0.13%,3.04%,3.17%
2024-12-30 0:00:00,2.56%,0.13%,3.05%,3.18%
2024-12-31 0:00:00,2.56%,0.13%,3.28%,3.41%
2025-01-01 0:00:00,2.55%,0.13%,3.16%,3.29%
2025-01-02 0:00:00,2.59%,0.13%,3.32%,3.45%
2025-01-03 0:00:00,2.57%,0.15%,3.21%,3.36%
2025-01-04 0:00:00,2.60%,0.14%,3.17%,3.32%
2025-01-05 0:00:00,2.60%,0.14%,3.11%,3.26%
2025-01-06 0:00:00,2.56%,0.15%,3.15%,3.30%
2025-01-07 0:00:00,2.58%,0.15%,3.24%,3.39%
2025-01-08 0:00:00,2.59%,0.15%,3.34%,3.48%
2025-01-09 0:00:00,2.57%,0.15%,3.25%,3.40%
2025-01-10 0:00:00,2.55%,0.14%,3.25%,3.40%
2025-01-11 0:00:00,2.55%,0.14%,3.06%,3.21%
2025-01-12 0:00:00,2.40%,0.14%,3.00%,3.14%
2025-01-13 0:00:00,2.41%,0.14%,3.45%,3.60%
2025-01-14 0:00:00,2.43%,0.18%,3.31%,3.48%
2025-01-15 0:00:00,2.43%,0.19%,3.17%,3.36%
2025-01-16 0:00:00,2.43%,0.20%,3.21%,3.41%
2025-01-17 0:00:00,2.51%,0.20%,3.21%,3.41%
2025-01-18 0:00:00,2.51%,0.20%,3.29%,3.48%
2025-01-19 0:00:00,2.52%,0.19%,3.49%,3.68%
2025-01-20 0:00:00,2.53%,0.18%,3.85%,4.03%
2025-01-21 0:00:00,2.58%,0.18%,3.80%,3.98%
2025-01-22 0:00:00,2.58%,0.18%,3.22%,3.40%
2025-01-23 0:00:00,2.67%,0.18%,3.15%,3.32%
2025-01-24 0:00:00,2.64%,0.18%,4.65%,4.82%
2025-01-25 0:00:00,2.64%,0.18%,3.10%,3.28%
2025-01-26 0:00:00,2.57%,0.18%,3.02%,3.20%
2025-01-27 0:00:00,2.56%,0.18%,3.40%,3.58%
2025-01-28 0:00:00,2.61%,0.18%,3.16%,3.34%
2025-01-29 0:00:00,2.64%,0.18%,3.08%,3.26%
2025-01-30 0:00:00,2.67%,0.19%,3.19%,3.38%
2025-01-31 0:00:00,2.68%,0.19%,3.10%,3.28%
2025-02-01 0:00:00,2.67%,0.19%,3.12%,3.31%
2025-02-02 0:00:00,2.63%,0.19%,3.06%,3.25%
2025-02-03 0:00:00,2.69%,0.17%,13.06%,13.22%
2025-02-04 0:00:00,2.70%,0.18%,3.66%,3.84%
2025-02-05 0:00:00,2.66%,0.18%,3.34%,3.52%
2025-02-06 0:00:00,2.64%,0.17%,3.11%,3.28%
2025-02-07 0:00:00,2.64%,0.17%,3.23%,3.40%
2025-02-08 0:00:00,2.65%,0.17%,3.16%,3.32%
2025-02-09 0:00:00,2.62%,0.17%,2.99%,3.16%
2025-02-10 0:00:00,2.58%,0.17%,3.14%,3.31%
2025-02-11 0:00:00,2.55%,0.18%,3.10%,3.28%
2025-02-12 0:00:00,2.53%,0.18%,3.07%,3.25%
2025-02-13 0:00:00,2.48%,0.18%,3.28%,3.46%
2025-02-14 0:00:00,2.50%,0.19%,3.16%,3.35%
2025-02-15 0:00:00,2.52%,0.19%,2.98%,3.17%
2025-02-16 0:00:00,2.51%,0.19%,2.94%,3.14%
2025-02-17 0:00:00,2.51%,0.19%,3.07%,3.26%
2025-02-18 0:00:00,2.49%,0.18%,3.27%,3.45%
2025-02-19 0:00:00,2.53%,0.18%,3.09%,3.27%
2025-02-20 0:00:00,2.51%,0.18%,3.02%,3.20%
2025-02-21 0:00:00,2.59%,0.17%,3.04%,3.21%
2025-02-22 0:00:00,2.64%,0.16%,3.35%,3.50%
2025-02-23 0:00:00,2.65%,0.16%,3.04%,3.19%
2025-02-24 0:00:00,2.62%,0.15%,3.10%,3.24%
2025-02-25 0:00:00,2.56%,0.13%,4.55%,4.68%
2025-02-26 0:00:00,2.55%,0.13%,3.30%,3.43%
2025-02-27 0:00:00,2.55%,0.13%,3.48%,3.61%
2025-02-28 0:00:00,2.58%,0.14%,4.51%,4.65%
2025-03-01 0:00:00,2.60%,0.13%,3.16%,3.29%
2025-03-02 0:00:00,2.61%,0.12%,3.03%,3.15%
2025-03-03 0:00:00,2.62%,0.12%,3.69%,3.81%
2025-03-04 0:00:00,2.61%,0.12%,4.00%,4.12%
2025-03-05 0:00:00,2.59%,0.12%,3.44%,3.56%
2025-03-06 0:00:00,2.55%,0.12%,3.16%,3.28%
2025-03-07 0:00:00,2.56%,0.12%,3.38%,3.50%
2025-03-08 0:00:00,2.61%,0.12%,3.27%,3.39%
2025-03-09 0:00:00,2.61%,0.12%,3.01%,3.13%
2025-03-10 0:00:00,3.12%,0.12%,3.40%,3.52%
2025-03-11 0:00:00,2.74%,0.12%,5.38%,5.51%
2025-03-12 0:00:00,2.69%,0.11%,3.99%,4.11%
2025-03-13 0:00:00,2.69%,0.11%,3.13%,3.24%
2025-03-14 0:00:00,2.70%,0.10%,3.12%,3.22%
2025-03-15 0:00:00,2.70%,0.09%,3.08%,3.18%
2025-03-16 0:00:00,5.92%,0.09%,3.00%,3.10%
2025-03-17 0:00:00,2.70%,0.09%,2.98%,3.07%
2025-03-18 0:00:00,4.09%,0.10%,3.08%,3.18%
2025-03-19 0:00:00,2.61%,0.10%,3.19%,3.29%
2025-03-20 0:00:00,2.62%,0.09%,3.25%,3.35%
2025-03-21 0:00:00,2.60%,0.09%,3.04%,3.14%
2025-03-22 0:00:00,2.68%,0.10%,2.96%,3.06%
2025-03-23 0:00:00,2.69%,0.10%,2.96%,3.06%
2025-03-24 0:00:00,2.68%,0.10%,2.96%,3.07%
2025-03-25 0:00:00,2.65%,0.12%,3.00%,3.12%
2025-03-26 0:00:00,2.61%,0.12%,2.99%,3.10%
2025-03-27 0:00:00,2.62%,0.11%,3.05%,3.17%
2025-03-28 0:00:00,2.63%,0.11%,3.35%,3.46%
2025-03-29 0:00:00,2.62%,0.11%,3.12%,3.23%
2025-03-30 0:00:00,2.64%,0.11%,3.07%,3.18%
2025-03-31 0:00:00,2.67%,0.12%,3.05%,3.16%
2025-04-01 0:00:00,2.65%,0.12%,3.09%,3.21%
2025-04-02 0:00:00,2.65%,0.12%,3.07%,3.18%
2025-04-03 0:00:00,2.65%,0.12%,3.32%,3.44%
2025-04-04 0:00:00,2.62%,0.12%,3.16%,3.28%
2025-04-05 0:00:00,2.62%,0.12%,3.08%,3.20%
2025-04-06 0:00:00,2.66%,0.11%,2.95%,3.06%
2025-04-07 0:00:00,2.69%,0.10%,8.14%,8.24%
2025-04-08 0:00:00,4.45%,0.09%,3.44%,3.54%
2025-04-09 0:00:00,2.69%,0.09%,3.65%,3.74%
2025-04-10 0:00:00,2.65%,0.08%,3.70%,3.79%
2025-04-11 0:00:00,2.69%,0.08%,3.47%,3.55%
2025-04-12 0:00:00,2.69%,0.08%,3.17%,3.25%
2025-04-13 0:00:00,2.68%,0.08%,3.15%,3.23%
2025-04-14 0:00:00,2.70%,0.08%,3.30%,3.39%
2025-04-15 0:00:00,2.69%,0.09%,3.14%,3.22%
2025-04-16 0:00:00,2.66%,0.09%,3.15%,3.23%
2025-04-17 0:00:00,2.66%,0.09%,3.08%,3.17%
2025-04-18 0:00:00,2.66%,0.09%,3.01%,3.11%
2025-04-19 0:00:00,2.67%,0.09%,2.95%,3.04%
2025-04-20 0:00:00,2.67%,0.09%,2.97%,3.06%
2025-04-21 0:00:00,2.65%,0.09%,3.04%,3.12%
2025-04-22 0:00:00,2.63%,0.08%,3.11%,3.19%
2025-04-23 0:00:00,2.65%,0.09%,3.51%,3.59%
2025-04-24 0:00:00,2.67%,0.09%,3.23%,3.32%
2025-04-25 0:00:00,2.65%,0.08%,3.10%,3.18%
2025-04-26 0:00:00,2.67%,0.08%,3.06%,3.14%
2025-04-27 0:00:00,2.64%,0.08%,2.98%,3.07%
2025-04-28 0:00:00,2.62%,0.09%,2.99%,3.08%
2025-04-29 0:00:00,2.60%,0.09%,3.14%,3.22%
2025-04-30 0:00:00,2.58%,0.09%,2.96%,3.04%
2025-05-01 0:00:00,2.57%,0.08%,3.04%,3.12%
2025-05-02 0:00:00,2.53%,0.08%,3.03%,3.11%
2025-05-03 0:00:00,2.53%,0.09%,2.96%,3.05%
2025-05-04 0:00:00,2.57%,0.09%,2.92%,3.01%
2025-05-05 0:00:00,2.55%,0.09%,2.99%,3.08%
2025-05-06 0:00:00,2.56%,0.09%,3.00%,3.08%
2025-05-07 0:00:00,2.54%,0.09%,2.98%,3.07%
2025-05-08 0:00:00,2.66%,0.09%,2.99%,3.09%
2025-05-09 0:00:00,2.58%,0.09%,3.83%,3.92%
2025-05-10 0:00:00,2.57%,0.09%,3.28%,3.37%
2025-05-11 0:00:00,2.56%,0.09%,3.47%,3.56%
2025-05-12 0:00:00,2.56%,0.09%,3.24%,3.33%
2025-05-13 0:00:00,2.55%,0.10%,3.24%,3.33%
2025-05-14 0:00:00,2.60%,0.10%,3.21%,3.31%
2025-05-15 0:00:00,2.59%,0.10%,3.10%,3.20%
2025-05-16 0:00:00,2.56%,0.09%,3.15%,3.25%
2025-05-17 0:00:00,2.54%,0.09%,3.04%,3.13%
2025-05-18 0:00:00,2.54%,0.09%,2.91%,3.00%
2025-05-19 0:00:00,2.54%,0.10%,3.25%,3.35%
2025-05-20 0:00:00,2.52%,0.09%,3.09%,3.18%
2025-05-21 0:00:00,2.56%,0.08%,3.09%,3.17%
2025-05-22 0:00:00,2.45%,0.09%,3.25%,3.34%
2025-05-23 0:00:00,2.46%,0.07%,3.25%,3.32%
2025-05-24 0:00:00,2.44%,0.07%,3.10%,3.18%
2025-05-25 0:00:00,2.43%,0.08%,2.97%,3.05%
2025-05-26 0:00:00,2.42%,0.07%,3.02%,3.09%
2025-05-27 0:00:00,2.43%,0.07%,3.04%,3.11%
2025-05-28 0:00:00,2.51%,0.07%,3.13%,3.20%
2025-05-29 0:00:00,2.62%,0.07%,3.15%,3.22%
2025-05-30 0:00:00,2.61%,0.06%,3.21%,3.27%
2025-05-31 0:00:00,2.62%,0.06%,3.19%,3.26%
2025-06-01 0:00:00,2.61%,0.06%,3.00%,3.06%
2025-06-02 0:00:00,2.59%,0.06%,3.03%,3.08%
2025-06-03 0:00:00,2.57%,0.05%,3.08%,3.13%
2025-06-04 0:00:00,2.56%,0.05%,3.11%,3.15%
2025-06-05 0:00:00,2.59%,0.05%,3.07%,3.12%
2025-06-06 0:00:00,2.58%,0.06%,3.19%,3.25%
2025-06-07 0:00:00,2.59%,0.05%,3.04%,3.09%
2025-06-08 0:00:00,2.58%,0.05%,2.98%,3.03%
2025-06-09 0:00:00,2.59%,0.05%,2.98%,3.02%
2025-06-10 0:00:00,2.59%,0.06%,3.11%,3.17%
2025-06-11 0:00:00,2.62%,0.05%,3.11%,3.17%
2025-06-12 0:00:00,2.58%,0.05%,3.15%,3.20%
2025-06-13 0:00:00,2.59%,0.06%,3.21%,3.27%
2025-06-14 0:00:00,2.59%,0.06%,2.93%,2.98%
2025-06-15 0:00:00,2.60%,0.06%,2.85%,2.91%
2025-06-16 0:00:00,2.60%,0.06%,2.95%,3.00%
2025-06-17 0:00:00,2.60%,0.05%,3.06%,3.11%
2025-06-18 0:00:00,2.59%,0.05%,2.96%,3.01%
2025-06-19 0:00:00,2.59%,0.05%,3.05%,3.10%
2025-06-20 0:00:00,2.59%,0.05%,2.97%,3.03%
2025-06-21 0:00:00,2.60%,0.06%,2.99%,3.05%
2025-06-22 0:00:00,2.56%,0.06%,3.29%,3.35%
2025-06-23 0:00:00,2.55%,0.06%,3.31%,3.37%
2025-06-24 0:00:00,2.57%,0.06%,3.18%,3.24%
2025-06-25 0:00:00,2.52%,0.06%,3.05%,3.10%
2025-06-26 0:00:00,2.52%,0.08%,2.99%,3.06%
2025-06-27 0:00:00,2.52%,0.08%,3.03%,3.11%
2025-06-28 0:00:00,2.51%,0.08%,2.91%,2.99%
2025-06-29 0:00:00,2.51%,0.08%,2.93%,3.01%
2025-06-30 0:00:00,2.50%,0.08%,2.95%,3.03%
2025-07-01 0:00:00,2.51%,0.07%,2.98%,3.05%
2025-07-02 0:00:00,2.51%,0.07%,2.98%,3.05%
2025-07-03 0:00:00,2.49%,0.06%,3.00%,3.06%
2025-07-04 0:00:00,2.58%,0.08%,2.99%,3.08%
2025-07-05 0:00:00,2.58%,0.08%,2.89%,2.97%
2025-07-06 0:00:00,2.57%,0.08%,2.91%,2.98%
2025-07-07 0:00:00,2.58%,0.08%,2.95%,3.03%
2025-07-08 0:00:00,2.59%,0.08%,2.97%,3.05%
2025-07-09 0:00:00,2.59%,0.07%,2.98%,3.05%
2025-07-10 0:00:00,2.62%,0.07%,3.12%,3.19%
2025-07-11 0:00:00,2.69%,0.07%,3.21%,3.28%
2025-07-12 0:00:00,2.69%,0.07%,3.00%,3.06%
2025-07-13 0:00:00,2.68%,0.06%,2.90%,2.97%
2025-07-14 0:00:00,5.18%,0.07%,3.05%,3.12%
2025-07-15 0:00:00,5.83%,0.07%,3.02%,3.09%
2025-07-16 0:00:00,2.68%,0.07%,3.10%,3.17%
2025-07-17 0:00:00,6.39%,0.07%,3.19%,3.27%
2025-07-18 0:00:00,5.14%,0.07%,3.15%,3.22%
2025-07-19 0:00:00,2.66%,0.07%,2.96%,3.03%
2025-07-20 0:00:00,6.30%,0.07%,2.96%,3.03%
2025-07-21 0:00:00,4.24%,0.06%,3.11%,3.17%
2025-07-22 0:00:00,3.92%,0.06%,3.04%,3.10%
2025-07-23 0:00:00,3.00%,0.05%,2.94%,2.99%
2025-07-24 0:00:00,2.97%,0.06%,3.01%,3.07%
2025-07-25 0:00:00,2.97%,0.06%,2.97%,3.03%
2025-07-26 0:00:00,2.97%,0.06%,2.90%,2.96%
2025-07-27 0:00:00,2.89%,0.06%,2.88%,2.94%
2025-07-28 0:00:00,2.90%,0.05%,2.88%,2.94%
2025-07-29 0:00:00,2.95%,0.06%,2.90%,2.96%
2025-07-30 0:00:00,2.95%,0.06%,3.01%,3.06%
2025-07-31 0:00:00,2.89%,0.05%,2.95%,3.00%
2025-08-01 0:00:00,2.89%,0.06%,2.91%,2.96%
2025-08-02 0:00:00,4.22%,0.06%,2.91%,2.97%
2025-08-03 0:00:00,3.00%,0.06%,2.89%,2.95%
2025-08-04 0:00:00,2.88%,0.04%,2.85%,2.89%
2025-08-05 0:00:00,2.84%,0.04%,2.93%,2.97%
2025-08-06 0:00:00,2.82%,0.04%,2.93%,2.97%
2025-08-07 0:00:00,2.77%,0.04%,2.89%,2.93%
2025-08-08 0:00:00,2.69%,0.04%,2.93%,2.97%
2025-08-09 0:00:00,2.66%,0.04%,2.97%,3.00%
2025-08-10 0:00:00,2.65%,0.04%,2.91%,2.95%
2025-08-11 0:00:00,2.49%,0.04%,2.96%,3.00%
2025-08-12 0:00:00,2.52%,0.04%,2.94%,2.98%
2025-08-13 0:00:00,2.57%,0.04%,3.12%,3.16%
2025-08-14 0:00:00,2.66%,0.04%,3.05%,3.08%
2025-08-15 0:00:00,2.67%,0.04%,3.39%,3.43%
2025-08-16 0:00:00,2.66%,0.04%,2.98%,3.02%
2025-08-17 0:00:00,2.66%,0.04%,2.88%,2.92%
2025-08-18 0:00:00,2.66%,0.05%,2.95%,3.00%
2025-08-19 0:00:00,3.96%,0.05%,2.93%,2.99%
2025-08-20 0:00:00,2.66%,0.05%,2.89%,2.94%
2025-08-21 0:00:00,2.61%,0.05%,2.93%,2.98%
2025-08-22 0:00:00,2.62%,0.05%,2.91%,2.96%
2025-08-23 0:00:00,2.61%,0.05%,3.07%,3.12%
2025-08-24 0:00:00,2.63%,0.05%,2.87%,2.92%
2025-08-25 0:00:00,2.61%,0.05%,2.98%,3.03%
2025-08-26 0:00:00,2.61%,0.05%,3.08%,3.12%
2025-08-27 0:00:00,2.61%,0.05%,2.88%,2.93%
2025-08-28 0:00:00,2.65%,0.05%,2.94%,2.98%
2025-08-29 0:00:00,2.65%,0.05%,2.89%,2.94%
2025-08-30 0:00:00,2.66%,0.05%,2.91%,2.96%
2025-08-31 0:00:00,2.64%,0.05%,2.84%,2.88%
2025-09-01 0:00:00,2.63%,0.05%,2.87%,2.92%
2025-09-02 0:00:00,2.64%,0.04%,3.05%,3.09%
2025-09-03 0:00:00,2.62%,0.04%,2.93%,2.97%
2025-09-04 0:00:00,2.60%,0.04%,2.87%,2.92%
2025-09-05 0:00:00,2.59%,0.04%,2.92%,2.96%
2025-09-06 0:00:00,2.58%,0.04%,2.87%,2.91%
2025-09-07 0:00:00,2.59%,0.04%,2.85%,2.89%
2025-09-08 0:00:00,2.59%,0.04%,2.83%,2.87%
2025-09-09 0:00:00,2.56%,0.04%,2.86%,2.90%
2025-09-10 0:00:00,2.54%,0.04%,2.83%,2.87%
2025-09-11 0:00:00,2.49%,0.04%,2.85%,2.89%
2025-09-12 0:00:00,2.48%,0.04%,2.90%,2.94%
2025-09-13 0:00:00,2.47%,0.04%,2.90%,2.94%
2025-09-14 0:00:00,2.47%,0.04%,2.86%,2.90%
2025-09-15 0:00:00,2.45%,0.04%,2.85%,2.89%
2025-09-16 0:00:00,2.35%,0.04%,2.88%,2.92%
2025-09-17 0:00:00,2.31%,0.04%,2.84%,2.88%
2025-09-18 0:00:00,2.28%,0.03%,2.93%,2.96%
2025-09-19 0:00:00,2.24%,0.03%,2.87%,2.90%
2025-09-20 0:00:00,2.24%,0.03%,2.83%,2.86%
2025-09-21 0:00:00,2.24%,0.03%,2.81%,2.84%
2025-09-22 0:00:00,2.31%,0.03%,2.88%,2.91%
2025-09-23 0:00:00,2.32%,0.03%,2.93%,2.96%
2025-09-24 0:00:00,2.30%,0.03%,2.93%,2.96%
2025-09-25 0:00:00,2.34%,0.03%,2.84%,2.87%
2025-09-26 0:00:00,2.28%,0.02%,2.87%,2.89%
2025-09-27 0:00:00,2.28%,0.02%,2.80%,2.82%
2025-09-28 0:00:00,2.25%,0.03%,2.82%,2.85%
2025-09-29 0:00:00,2.26%,0.02%,2.83%,2.85%
2025-09-30 0:00:00,2.25%,0.02%,2.88%,2.91%
2025-10-01 0:00:00,2.29%,0.02%,2.84%,2.86%
2025-10-02 0:00:00,2.30%,0.02%,2.86%,2.88%
2025-10-03 0:00:00,2.31%,0.02%,2.85%,2.88%
2025-10-04 0:00:00,2.31%,0.02%,2.87%,2.88%
2025-10-05 0:00:00,2.39%,0.02%,2.84%,2.86%
2025-10-06 0:00:00,2.39%,0.02%,2.83%,2.85%
2025-10-07 0:00:00,2.38%,0.02%,3.50%,3.51%
2025-10-08 0:00:00,2.40%,0.02%,2.90%,2.91%
2025-10-09 0:00:00,2.36%,0.02%,2.87%,2.89%